title,company,location,link,salary,job_type,time_posted,skills,category,scraped_date,source
Python Developer,Capgemini,"Pune, Maharashtra, India",https://in.linkedin.com/jobs/view/python-developer-at-capgemini-4280797159,Not specified,Not specified,1 week ago,"python, go",software_development,2025-08-20,LinkedIn
Python Developer,Persistent Systems,"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/python-developer-at-persistent-systems-4273875036,Not specified,Not specified,2 weeks ago,"python, go",software_development,2025-08-20,LinkedIn
Python Engineer,East India Securities,"Kolkata, West Bengal, India",https://in.linkedin.com/jobs/view/python-engineer-at-east-india-securities-4052305716,Not specified,Not specified,10 months ago,"python, go",software_development,2025-08-20,LinkedIn
Python Developer,Persistent Systems,"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/python-developer-at-persistent-systems-4274636649,Not specified,Not specified,2 weeks ago,"python, go",software_development,2025-08-20,LinkedIn
Junior Backend Engineer (Python),MeetRecord,"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/junior-backend-engineer-python-at-meetrecord-4224564261,Not specified,Not specified,3 months ago,"python, go",software_development,2025-08-20,LinkedIn
Python Developer,Infocom Software Pvt. Ltd.,"Thiruvananthapuram, Kerala, India",https://in.linkedin.com/jobs/view/python-developer-at-infocom-software-pvt-ltd-4277267729,Not specified,Not specified,3 weeks ago,"python, go",software_development,2025-08-20,LinkedIn
Python Developer,iNetFrame Technologies,"Bengaluru East, Karnataka, India",https://in.linkedin.com/jobs/view/python-developer-at-inetframe-technologies-4115567578,Not specified,Not specified,7 months ago,"python, go",software_development,2025-08-20,LinkedIn
Python Backend Engineer,Quantanite,"Thane, Maharashtra, India",https://in.linkedin.com/jobs/view/python-backend-engineer-at-quantanite-4275726649,Not specified,Not specified,3 weeks ago,"python, go",software_development,2025-08-20,LinkedIn
Java Developer,LTS,"Pune, Maharashtra, India",https://in.linkedin.com/jobs/view/java-developer-at-lts-3627617021,Not specified,Not specified,Not specified,"go, java",software_development,2025-08-20,LinkedIn
Software Java Developer - 1,NxtWave,"Hyderabad, Telangana, India",https://in.linkedin.com/jobs/view/software-java-developer-1-at-nxtwave-4257916054,Not specified,Not specified,1 month ago,"go, java",software_development,2025-08-20,LinkedIn
JAVA CLOUD,National Payments Corporation Of India (NPCI),"Mumbai, Maharashtra, India",https://in.linkedin.com/jobs/view/java-cloud-at-national-payments-corporation-of-india-npci-4281772229,Not specified,Not specified,1 week ago,"go, java",devops,2025-08-20,LinkedIn
